district_id,name,wards
24,Ichchhakamana,7
25,Dhunibeshi,9
25,Nilkantha,14
25,Khaniyabas,5
25,Gajuri,8
25,Galchhi,8
25,Gangajamuna,7
25,Jwalamukhi,7
25,Thakre,11
25,Netrawati Dabjong,5
25,Benighat Rorang,10
25,Rubi Valley,6
25,Siddhalek,7
25,Tripurasundari,7
26,Bhimeswor,9
26,Jiri,9
26,Kalinchok,9
26,Melung,7
26,Bigu,8
26,Gaurishankar,9
26,Baiteshowr,8
26,Sailung,8
26,Tamakoshi,7
27,Kathmandu,32
27,Gokarneshwar,9
27,Kirtipur,10
27,Kageshwari-Manohara,9
27,Chandragiri,15
27,Tokha,11
27,Tarakeshwar,11
27,Dakshinkali,9
27,Nagarjun,10
27,Budhalikantha,13
27,Shankharapur,9
28,Dhulikhel,12
28,Namobuddha,11
28,Panauti,12
28,Panchkhal,13
28,Banepa,14
28,Mandandeupur,12
28,Khani Khola,7
28,Chauri Deurali,9
28,Temal,9
28,Bethanchok,6
28,Bhumlu,10
28,Mahabharat,8
28,Roshi,12
29,Lalitpur,29
29,Mahalaxmi,10
29,Godawari,14
29,Konjyosom,5
29,Bagmati,7
29,Mahankal,6
30,Hetauda,19
30,Thaha,12
30,Bhimphedi,9
30,Makawanpurgadhi,8
30,Manahari,9
30,Raksirang,9
30,Bakaiya,12
30,Bagmati,9
30,Kailash,10
30,Indrasarowar,5
31,Bidur,13
31,Belkotgadhi,13
31,Kakani,8
31,Panchakanya,5
31,Likhu,6
31,Dupcheshwar,7
31,Shivapuri,8
31,Tadi,6
31,Suryagadhi,5
31,Tarkeshwar,6
31,Kispang,5
31,Myagang,6
32,Manthali,14
32,Ramechhap,9
32,Umakunda,7
32,Khandadevi,9
32,Doramba,7
32,Gokulganga,6
32,LikhuTamakoshi,7
32,Sunapati,5
33,Kalika,5
33,Gosaikunda,6
33,Naukunda,6
33,Parbatikunda,5
33,Uttargaya,5
34,Kamalamai,14
34,Dudhauli,14
34,Sunkoshi,7
34,Hariharpurgadhi,8
34,Tinpatan,11
34,Marin,7
34,Golanjor,7
34,Phikkal,6
34,Ghyanglekh,5
35,Chautara Sangachowkgadi,14
35,Bahrabise,9
35,Melamchi,13
35,Balephi,8
35,Sunkoshi,7
35,Indrawati,12
35,Jugal,7
35,Panchpokhari,8
35,Bhotekoshi,5
35,Lisankhu,7
35,Helambu,7
35,Tripurasundari,6
36,Baglung,14
36,Dhorpatan,9
36,Galkot,11
36,Jaimuni,10
36,Bareng,5
36,Khathekhola,8
36,Taman Khola,6
36,Tara Khola,5
36,Nishi Khola,7
36,Badigad,10
37,Gorkha,14
37,Palungtar,10
37,Sulikot,8
37,Siranchowk,8
37,Ajirkot,5
37,Chumnubri,7
37,Dharche,7
37,Bhimsen Thapa,8
37,Sahid Lakhan,9
37,Aarughat,10
37,Gandaki,8
38,Pokhara,33
38,Annapurna,11
38,Machhapuchchhre,9
38,Madi,12
38,Rupa,7
39,Besisahar,11
39,Madhya Nepal,10
39,Rainas,10
39,Sundarbazar,11
39,Dordi,9
39,Dudhpokhari,6
39,Kwhlosothar,9
39,Marsyangdi,9
40,Chame,5
40,Nason,9
40,NarpaBhumi,5
40,Manang Ngisyang,9
41,Gharpajhong,5
41,Thasang,5
41,Barhagaun Muktichhetra,5
41,Lomanthang,5
41,Lo-Ghekar Damodarkunda,5
42,Beni,10
42,Annapurna,8
42,Dhaulagiri,7
42,Mangala,5
42,Malika,7
42,Raghuganga,8
43,Kawasoti,17
43,Gaindakot,18
43,Devachuli,17
43,Madhya Bindu,15
43,Baudikali,6
43,Bulingtar,6
43,Binayi Tribeni,7
43,Hupsekot,6
44,Kushma,14
44,Phalewas,11
44,Jaljala,9
44,Paiyun,7
44,Mahashila,6
44,Modi,8
44,Bihadi,6
45,Galyang,11
45,Chapakot,10
45,Putalibazar,14
45,Bheerkot,9
45,Waling,14
45,Arjun Chaupari,6
45,Aandhikhola,6
45,Kaligandaki,7
45,Phedikhola,5
45,Harinas,7
45,Biruwa,8
46,Bhanu,13
46,Bhimad,9
46,Byas,14
46,Suklagandaki,12
46,AnbuKhaireni,6
46,Devghat,5
46,Bandipur,6
46,Rishing,8
46,Ghiring,5
46,Myagde,7
47,Kapilvastu,12
47,Banganga,11
47,Buddhabhumi,10
47,Shivaraj,11
47,Krishnanagar,12
47,Maharajgunj,11
47,Mayadevi,8
47,Yashodhara,8
47,Suddhodan,6
47,Bijaynagar,7
48,Bardaghat,16
48,Ramgram,18
48,Sunwal,13
48,Susta,5
48,Palhi Nandan,6
48,Pratappur,9
48,Sarawal,7
49,Butwal,19
49,Devdaha,12
49,Lumbini Sanskritik,13
49,Sainamaina,11
49,Siddharthanagar,13
49,Tilottama,17
49,Gaidahawa,9
49,Kanchan,5
49,Kotahimai,7
49,Marchawari,7
49,Mayadevi,8
49,Omsatiya,6
49,Rohini,7
49,Sammarimai,7
49,Siyari,7
49,Suddodhan,7
50,Sandhikharka,12
50,Sitganga,14
50,Bhumikasthan,10
50,Chhatradev,8
50,Panini,8
50,Malarani,9
51,Resunga,14
51,Musikot,9
51,Rurukshetra,6
51,Chhatrakot,6
51,Gulmidarbar,7
51,Chandrakot,8
51,Satyawati,8
51,Dhurkot,7
51,Kaligandaki,7
51,Isma,6
51,Malika,8
51,Madane,7
52,Tansen,14
52,Rampur,10
52,Rainadevi Chhahara,8
52,Ripdikot,8
52,Bagnaskali,9
52,Rambha,5
52,Purbakhola,6
52,Nisdi,7
52,Mathagadhi,8
52,Tinahu,6
53,Ghorahi,19
53,Tulsipur,19
53,Lamahi,9
53,Gadhawa,8
53,Rajpur,7
53,Shantinagar,7
53,Rapti,9
53,Banglachuli,8
53,Dangisharan,7
53,Babai,7
54,Sworgadwari,9
54,Pyuthan,10
54,Mandavi,5
54,Sarumarani,6
54,Ayirawati,6
54,Mallarani,5
54,Jhimruk,8
54,Naubahini,8
